Angle(Deg)	I1	I2	Itotal
0.123512	7.955581e+006	7.955539e+006	1.591112e+007
0.124012	7.952615e+006	7.952573e+006	1.590519e+007
0.124512	7.949638e+006	7.949595e+006	1.589923e+007
0.125013	7.946650e+006	7.946607e+006	1.589326e+007
0.125513	7.943651e+006	7.943607e+006	1.588726e+007
0.126013	7.940640e+006	7.940597e+006	1.588124e+007
0.126513	7.937619e+006	7.937575e+006	1.587519e+007
0.127013	7.934587e+006	7.934543e+006	1.586913e+007
0.127513	7.931544e+006	7.931499e+006	1.586304e+007
0.128013	7.928490e+006	7.928445e+006	1.585693e+007
0.128513	7.925425e+006	7.925379e+006	1.585080e+007
0.129013	7.922349e+006	7.922303e+006	1.584465e+007
0.129513	7.919262e+006	7.919216e+006	1.583848e+007
0.130013	7.916164e+006	7.916118e+006	1.583228e+007
0.130513	7.913056e+006	7.913009e+006	1.582606e+007
0.131013	7.909936e+006	7.909889e+006	1.581982e+007
0.131513	7.906806e+006	7.906758e+006	1.581356e+007
0.132013	7.903664e+006	7.903616e+006	1.580728e+007
0.132513	7.900512e+006	7.900464e+006	1.580098e+007
0.133013	7.897349e+006	7.897301e+006	1.579465e+007
0.133513	7.894175e+006	7.894127e+006	1.578830e+007
0.134013	7.890991e+006	7.890942e+006	1.578193e+007
0.134513	7.887795e+006	7.887746e+006	1.577554e+007
0.135014	7.884589e+006	7.884539e+006	1.576913e+007
0.135514	7.881372e+006	7.881322e+006	1.576269e+007
0.136014	7.878145e+006	7.878094e+006	1.575624e+007
0.136514	7.874906e+006	7.874855e+006	1.574976e+007
0.137014	7.871657e+006	7.871605e+006	1.574326e+007
0.137514	7.868397e+006	7.868345e+006	1.573674e+007
0.138014	7.865126e+006	7.865074e+006	1.573020e+007
0.138514	7.861845e+006	7.861792e+006	1.572364e+007
0.139014	7.858553e+006	7.858500e+006	1.571705e+007
0.139514	7.855250e+006	7.855197e+006	1.571045e+007
0.140014	7.851937e+006	7.851883e+006	1.570382e+007
0.140514	7.848613e+006	7.848559e+006	1.569717e+007
0.141014	7.845278e+006	7.845224e+006	1.569050e+007
0.141514	7.841933e+006	7.841878e+006	1.568381e+007
0.142014	7.838577e+006	7.838522e+006	1.567710e+007
0.142514	7.835210e+006	7.835155e+006	1.567036e+007
0.143014	7.831833e+006	7.831777e+006	1.566361e+007
0.143514	7.828445e+006	7.828389e+006	1.565683e+007
0.144014	7.825047e+006	7.824990e+006	1.565004e+007
0.144514	7.821638e+006	7.821581e+006	1.564322e+007
0.145015	7.818219e+006	7.818162e+006	1.563638e+007
0.145515	7.814789e+006	7.814731e+006	1.562952e+007
0.146015	7.811348e+006	7.811290e+006	1.562264e+007
0.146515	7.807897e+006	7.807839e+006	1.561574e+007
0.147015	7.804436e+006	7.804377e+006	1.560881e+007
0.147515	7.800964e+006	7.800905e+006	1.560187e+007
0.148015	7.797482e+006	7.797422e+006	1.559490e+007
0.148515	7.793989e+006	7.793929e+006	1.558792e+007
0.149015	7.790486e+006	7.790426e+006	1.558091e+007
0.149515	7.786972e+006	7.786912e+006	1.557388e+007
0.150015	7.783448e+006	7.783387e+006	1.556684e+007
0.150515	7.779914e+006	7.779852e+006	1.555977e+007
0.151015	7.776369e+006	7.776307e+006	1.555268e+007
0.151515	7.772814e+006	7.772752e+006	1.554557e+007
0.152015	7.769248e+006	7.769186e+006	1.553843e+007
0.152515	7.765672e+006	7.765609e+006	1.553128e+007
0.153015	7.762086e+006	7.762023e+006	1.552411e+007
0.153515	7.758489e+006	7.758426e+006	1.551692e+007
0.154015	7.754883e+006	7.754819e+006	1.550970e+007
0.154515	7.751265e+006	7.751201e+006	1.550247e+007
0.155016	7.747638e+006	7.747573e+006	1.549521e+007
0.155516	7.744000e+006	7.743935e+006	1.548794e+007
0.156016	7.740352e+006	7.740287e+006	1.548064e+007
0.156516	7.736694e+006	7.736628e+006	1.547332e+007
0.157016	7.733026e+006	7.732960e+006	1.546599e+007
0.157516	7.729347e+006	7.729281e+006	1.545863e+007
0.158016	7.725658e+006	7.725591e+006	1.545125e+007
0.158516	7.721960e+006	7.721892e+006	1.544385e+007
0.159016	7.718250e+006	7.718183e+006	1.543643e+007
0.159516	7.714531e+006	7.714463e+006	1.542899e+007
0.160016	7.710802e+006	7.710733e+006	1.542153e+007
0.160516	7.707062e+006	7.706993e+006	1.541406e+007
0.161016	7.703312e+006	7.703243e+006	1.540656e+007
0.161516	7.699553e+006	7.699483e+006	1.539904e+007
0.162016	7.695783e+006	7.695713e+006	1.539150e+007
0.162516	7.692003e+006	7.691932e+006	1.538394e+007
0.163016	7.688213e+006	7.688142e+006	1.537635e+007
0.163516	7.684413e+006	7.684342e+006	1.536875e+007
0.164016	7.680603e+006	7.680531e+006	1.536113e+007
0.164516	7.676783e+006	7.676711e+006	1.535349e+007
0.165017	7.672953e+006	7.672880e+006	1.534583e+007
0.165517	7.669113e+006	7.669040e+006	1.533815e+007
0.166017	7.665263e+006	7.665189e+006	1.533045e+007
0.166517	7.661403e+006	7.661329e+006	1.532273e+007
0.167017	7.657533e+006	7.657459e+006	1.531499e+007
0.167517	7.653653e+006	7.653579e+006	1.530723e+007
0.168017	7.649764e+006	7.649688e+006	1.529945e+007
0.168517	7.645864e+006	7.645788e+006	1.529165e+007
0.169017	7.641954e+006	7.641879e+006	1.528383e+007
0.169517	7.638035e+006	7.637959e+006	1.527599e+007
0.170017	7.634106e+006	7.634029e+006	1.526813e+007
0.170517	7.630167e+006	7.630090e+006	1.526026e+007
0.171017	7.626218e+006	7.626140e+006	1.525236e+007
0.171517	7.622259e+006	7.622181e+006	1.524444e+007
0.172017	7.618291e+006	7.618212e+006	1.523650e+007
0.172517	7.614312e+006	7.614234e+006	1.522855e+007
0.173017	7.610324e+006	7.610245e+006	1.522057e+007
0.173517	7.606327e+006	7.606247e+006	1.521257e+007
0.174017	7.602319e+006	7.602239e+006	1.520456e+007
0.174517	7.598302e+006	7.598221e+006	1.519652e+007
0.175018	7.594275e+006	7.594194e+006	1.518847e+007
0.175518	7.590238e+006	7.590157e+006	1.518040e+007
0.176018	7.586192e+006	7.586110e+006	1.517230e+007
0.176518	7.582136e+006	7.582054e+006	1.516419e+007
0.177018	7.578070e+006	7.577988e+006	1.515606e+007
0.177518	7.573995e+006	7.573912e+006	1.514791e+007
0.178018	7.569910e+006	7.569827e+006	1.513974e+007
0.178518	7.565816e+006	7.565732e+006	1.513155e+007
0.179018	7.561712e+006	7.561627e+006	1.512334e+007
0.179518	7.557598e+006	7.557513e+006	1.511511e+007
0.180018	7.553475e+006	7.553390e+006	1.510686e+007
0.180518	7.549342e+006	7.549257e+006	1.509860e+007
0.181018	7.545200e+006	7.545114e+006	1.509031e+007
0.181518	7.541048e+006	7.540962e+006	1.508201e+007
0.182018	7.536887e+006	7.536800e+006	1.507369e+007
0.182518	7.532716e+006	7.532629e+006	1.506535e+007
0.183018	7.528536e+006	7.528448e+006	1.505698e+007
0.183518	7.524346e+006	7.524258e+006	1.504860e+007
0.184018	7.520147e+006	7.520059e+006	1.504021e+007
0.184518	7.515939e+006	7.515850e+006	1.503179e+007
0.185019	7.511721e+006	7.511632e+006	1.502335e+007
0.185519	7.507494e+006	7.507404e+006	1.501490e+007
0.186019	7.503257e+006	7.503167e+006	1.500642e+007
0.186519	7.499011e+006	7.498920e+006	1.499793e+007
0.187019	7.494756e+006	7.494665e+006	1.498942e+007
0.187519	7.490491e+006	7.490399e+006	1.498089e+007
0.188019	7.486217e+006	7.486125e+006	1.497234e+007
0.188519	7.481934e+006	7.481841e+006	1.496378e+007
0.189019	7.477641e+006	7.477548e+006	1.495519e+007
0.189519	7.473340e+006	7.473246e+006	1.494659e+007
0.190019	7.469028e+006	7.468935e+006	1.493796e+007
0.190519	7.464708e+006	7.464614e+006	1.492932e+007
0.191019	7.460379e+006	7.460284e+006	1.492066e+007
0.191519	7.456040e+006	7.455945e+006	1.491199e+007
0.192019	7.451692e+006	7.451597e+006	1.490329e+007
0.192519	7.447335e+006	7.447239e+006	1.489457e+007
0.193019	7.442969e+006	7.442873e+006	1.488584e+007
0.193519	7.438594e+006	7.438497e+006	1.487709e+007
0.194019	7.434209e+006	7.434112e+006	1.486832e+007
0.194519	7.429816e+006	7.429718e+006	1.485953e+007
0.195020	7.425413e+006	7.425315e+006	1.485073e+007
0.195520	7.421002e+006	7.420903e+006	1.484190e+007
0.196020	7.416581e+006	7.416482e+006	1.483306e+007
0.196520	7.412151e+006	7.412052e+006	1.482420e+007
0.197020	7.407712e+006	7.407612e+006	1.481532e+007
0.197520	7.403265e+006	7.403164e+006	1.480643e+007
0.198020	7.398808e+006	7.398707e+006	1.479751e+007
0.198520	7.394342e+006	7.394241e+006	1.478858e+007
0.199020	7.389868e+006	7.389766e+006	1.477963e+007
0.199520	7.385384e+006	7.385282e+006	1.477067e+007
0.200020	7.380891e+006	7.380789e+006	1.476168e+007
0.200520	7.376390e+006	7.376287e+006	1.475268e+007
0.201020	7.371880e+006	7.371776e+006	1.474366e+007
0.201520	7.367360e+006	7.367256e+006	1.473462e+007
0.202020	7.362832e+006	7.362728e+006	1.472556e+007
0.202520	7.358295e+006	7.358191e+006	1.471649e+007
0.203020	7.353750e+006	7.353644e+006	1.470739e+007
0.203520	7.349195e+006	7.349089e+006	1.469828e+007
0.204020	7.344632e+006	7.344526e+006	1.468916e+007
0.204520	7.340060e+006	7.339953e+006	1.468001e+007
0.205021	7.335479e+006	7.335372e+006	1.467085e+007
0.205521	7.330890e+006	7.330782e+006	1.466167e+007
0.206021	7.326291e+006	7.326183e+006	1.465247e+007
0.206521	7.321684e+006	7.321576e+006	1.464326e+007
0.207021	7.317069e+006	7.316960e+006	1.463403e+007
0.207521	7.312444e+006	7.312335e+006	1.462478e+007
0.208021	7.307811e+006	7.307701e+006	1.461551e+007
0.208521	7.303170e+006	7.303059e+006	1.460623e+007
0.209021	7.298519e+006	7.298408e+006	1.459693e+007
0.209521	7.293861e+006	7.293749e+006	1.458761e+007
0.210021	7.289193e+006	7.289081e+006	1.457827e+007
0.210521	7.284517e+006	7.284405e+006	1.456892e+007
0.211021	7.279833e+006	7.279720e+006	1.455955e+007
0.211521	7.275139e+006	7.275026e+006	1.455017e+007
0.212021	7.270438e+006	7.270324e+006	1.454076e+007
0.212521	7.265728e+006	7.265614e+006	1.453134e+007
0.213021	7.261009e+006	7.260895e+006	1.452190e+007
0.213521	7.256282e+006	7.256167e+006	1.451245e+007
0.214021	7.251547e+006	7.251431e+006	1.450298e+007
0.214521	7.246803e+006	7.246687e+006	1.449349e+007
0.215022	7.242050e+006	7.241934e+006	1.448398e+007
0.215522	7.237290e+006	7.237173e+006	1.447446e+007
0.216022	7.232520e+006	7.232403e+006	1.446492e+007
0.216522	7.227743e+006	7.227625e+006	1.445537e+007
0.217022	7.222957e+006	7.222839e+006	1.444580e+007
0.217522	7.218163e+006	7.218044e+006	1.443621e+007
0.218022	7.213361e+006	7.213241e+006	1.442660e+007
0.218522	7.208550e+006	7.208430e+006	1.441698e+007
0.219022	7.203731e+006	7.203610e+006	1.440734e+007
0.219522	7.198903e+006	7.198783e+006	1.439769e+007
0.220022	7.194068e+006	7.193947e+006	1.438801e+007
0.220522	7.189224e+006	7.189102e+006	1.437833e+007
0.221022	7.184372e+006	7.184250e+006	1.436862e+007
0.221522	7.179512e+006	7.179389e+006	1.435890e+007
0.222022	7.174644e+006	7.174521e+006	1.434916e+007
0.222522	7.169767e+006	7.169644e+006	1.433941e+007
0.223022	7.164883e+006	7.164759e+006	1.432964e+007
0.223522	7.159990e+006	7.159865e+006	1.431986e+007
0.224022	7.155089e+006	7.154964e+006	1.431005e+007
0.224522	7.150180e+006	7.150055e+006	1.430024e+007
0.225023	7.145263e+006	7.145137e+006	1.429040e+007
0.225523	7.140338e+006	7.140212e+006	1.428055e+007
0.226023	7.135405e+006	7.135278e+006	1.427068e+007
0.226523	7.130464e+006	7.130337e+006	1.426080e+007
0.227023	7.125515e+006	7.125387e+006	1.425090e+007
0.227523	7.120558e+006	7.120430e+006	1.424099e+007
0.228023	7.115593e+006	7.115464e+006	1.423106e+007
0.228523	7.110620e+006	7.110491e+006	1.422111e+007
0.229023	7.105639e+006	7.105510e+006	1.421115e+007
0.229523	7.100651e+006	7.100521e+006	1.420117e+007
0.230023	7.095654e+006	7.095523e+006	1.419118e+007
0.230523	7.090650e+006	7.090519e+006	1.418117e+007
0.231023	7.085637e+006	7.085506e+006	1.417114e+007
0.231523	7.080617e+006	7.080485e+006	1.416110e+007
0.232023	7.075589e+006	7.075457e+006	1.415105e+007
0.232523	7.070554e+006	7.070420e+006	1.414097e+007
0.233023	7.065510e+006	7.065376e+006	1.413089e+007
0.233523	7.060459e+006	7.060325e+006	1.412078e+007
0.234023	7.055400e+006	7.055265e+006	1.411066e+007
0.234523	7.050333e+006	7.050198e+006	1.410053e+007
0.235024	7.045258e+006	7.045123e+006	1.409038e+007
0.235524	7.040176e+006	7.040040e+006	1.408022e+007
0.236024	7.035087e+006	7.034950e+006	1.407004e+007
0.236524	7.029989e+006	7.029852e+006	1.405984e+007
0.237024	7.024884e+006	7.024747e+006	1.404963e+007
0.237524	7.019771e+006	7.019633e+006	1.403940e+007
0.238024	7.014651e+006	7.014513e+006	1.402916e+007
0.238524	7.009523e+006	7.009384e+006	1.401891e+007
0.239024	7.004388e+006	7.004248e+006	1.400864e+007
0.239524	6.999245e+006	6.999105e+006	1.399835e+007
